OTU_97.10499,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.10506,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unclassified,Unclassified
OTU_97.10510,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Oscillibacter valericigenes,Unclassified
OTU_97.10513,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Unclassified,Unclassified
OTU_97.10517,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.10524,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.1053,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter laneus,Unclassified
OTU_97.10543,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified,Unclassified
OTU_97.10566,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Unclassified,Unclassified
OTU_97.1058,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified,Unclassified
OTU_97.10581,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unclassified,Unclassified
OTU_97.1059,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_97.10606,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.10619,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Unclassified,Unclassified
OTU_97.10630,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unclassified,Unclassified
OTU_97.1065,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia glucerasea,Unclassified
OTU_97.1066,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified,Unclassified
OTU_97.10664,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Unclassified,Unclassified
OTU_97.10665,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unclassified,Unclassified
OTU_97.10668,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium sp.,Unclassified
OTU_97.1067,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.10684,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,Unclassified,Unclassified
OTU_97.10713,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified,Unclassified
OTU_97.10714,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified,Unclassified
OTU_97.1072,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium 5,Unclassified,Unclassified
OTU_97.10726,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unclassified,Unclassified
